@relation InstanceResultListener

@attribute Key_Dataset {communities.data}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.bayes.BayesNet,weka.classifiers.bayes.NaiveBayesSimple,weka.classifiers.bayes.NaiveBayesUpdateable}
@attribute Key_Scheme_options {'','-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5'}
@attribute Key_Scheme_version_ID {5995231201785697655,746037443258775954,-1478242251770381214,-5354015843807192221}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data

communities.data,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,168,32,0,84,16,0,0.544419,0.154516,0.387296,50.440034,98.722397,140.29955,2186.390534,-2046.090983,0.701498,10.931953,-10.230455,55.87867,0.279393,8022.704534,0.858025,139,0.236842,9,0.763158,29,0.141975,23,0.939189,0.858025,0.896774,0.903752,0.84,0.218817,0.781183,0.16,0.866705,0.84,0.848832,0.904802,0.094,0.028,0.078125,0,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,173,27,0,86.5,13.5,0,0.62552,0.141747,0.36028,46.271739,91.836106,140.29955,933.223591,-792.924041,0.701498,4.666118,-3.96462,64.648691,0.323243,9281.848539,0.864198,140,0.131579,5,0.868421,33,0.135802,22,0.965517,0.864198,0.912052,0.944607,0.865,0.132381,0.867619,0.135,0.896069,0.865,0.873601,0.944422,0.08,0.019,0.078125,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,167,33,0,83.5,16.5,0,0.550041,0.168487,0.405535,55.000694,103.371653,140.29955,3213.1419,-3072.84235,0.701498,16.065709,-15.364212,48.618156,0.243091,6980.28615,0.839506,136,0.184211,7,0.815789,31,0.160494,26,0.951049,0.839506,0.891803,0.874838,0.835,0.179704,0.820296,0.165,0.873683,0.835,0.846361,0.874421,0.079,0.018,0.078125,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,167,33,0,83.5,16.5,0,0.550041,0.164594,0.398027,53.729747,101.457743,140.29955,1720.231778,-1579.932228,0.701498,8.601159,-7.899661,50.980005,0.2549,7319.385314,0.839506,136,0.184211,7,0.815789,31,0.160494,26,0.951049,0.839506,0.891803,0.900097,0.835,0.179704,0.820296,0.165,0.873683,0.835,0.846361,0.899264,0.08,0.018,0.078125,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,159,40,0,79.899497,20.100503,0,0.4599,0.20426,0.445703,67.17376,114.560126,137.88723,1877.559553,-1739.672323,0.692901,9.434973,-8.742072,27.288882,0.13713,3912.601008,0.808642,131,0.243243,9,0.756757,28,0.191358,31,0.935714,0.808642,0.86755,0.85669,0.798995,0.233596,0.766404,0.201005,0.849975,0.798995,0.814705,0.856985,0.079,0.017,0.078125,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,163,36,0,81.909548,18.090452,0,0.478527,0.179163,0.417396,58.920074,107.284397,137.88723,3509.066395,-3371.179166,0.692901,17.633499,-16.940599,40.716486,0.204605,5837.812046,0.845679,137,0.297297,11,0.702703,26,0.154321,25,0.925676,0.845679,0.883871,0.844011,0.819095,0.270714,0.729286,0.180905,0.848353,0.819095,0.829401,0.847113,0.078,0.017,0.078125,0,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,170,29,0,85.427136,14.572864,0,0.576067,0.145121,0.377267,47.725031,96.969882,137.88723,1278.489294,-1140.602064,0.692901,6.424569,-5.731669,59.639985,0.299698,8551.008528,0.87037,141,0.216216,8,0.783784,29,0.12963,21,0.946309,0.87037,0.906752,0.915082,0.854271,0.200117,0.799883,0.145729,0.878201,0.854271,0.862113,0.914337,0.082,0.017,0.078125,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,172,27,0,86.432161,13.567839,0,0.590254,0.139238,0.362014,45.790407,93.049396,137.88723,1194.376861,-1056.489632,0.692901,6.001894,-5.308993,62.501484,0.314078,8961.282013,0.888889,144,0.243243,9,0.756757,28,0.111111,18,0.941176,0.888889,0.914286,0.925092,0.864322,0.218676,0.781324,0.135678,0.879358,0.864322,0.869739,0.925092,0.08,0.016,0.09375,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,166,33,0,83.417085,16.582915,0,0.542784,0.170802,0.405328,56.17054,104.182408,137.88723,2496.660187,-2358.772958,0.692901,12.546031,-11.85313,45.713353,0.229715,6554.248286,0.839506,136,0.189189,7,0.810811,30,0.160494,26,0.951049,0.839506,0.891803,0.907908,0.834171,0.183854,0.816146,0.165829,0.873826,0.834171,0.845945,0.907629,0.08,0.017,0.078125,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
