@relation InstanceResultListener

@attribute Key_Dataset {communities.data}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.ADTree,weka.classifiers.trees.DecisionStump,weka.classifiers.trees.J48,weka.classifiers.trees.J48graft,weka.classifiers.trees.RandomForest,weka.classifiers.trees.RandomTree,weka.classifiers.trees.REPTree}
@attribute Key_Scheme_options {'-B 10 -E -3','','-C 0.25 -M 2','-I 10 -K 0 -S 1','-K 0 -M 1.0 -S 1','-M 2 -V 0.0010 -N 3 -S 1 -L -1'}
@attribute Key_Scheme_version_ID {-1532264837167690683,1618384535950391,-217733168393644444,8823716098042427799,4216839470751428698,8934314652175299374,-8562443428621539458}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 224\nSize of the tree: 447\n','Number of leaves: 71\nSize of the tree: 141\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 318\nSize of the tree: 635\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 146\nSize of the tree: 291\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 232\nSize of the tree: 463\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 166\nSize of the tree: 331\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 472\nSize of the tree: 943\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 238\nSize of the tree: 475\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 213\nSize of the tree: 425\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 73\nSize of the tree: 145\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 188\nSize of the tree: 375\n','Number of leaves: 363\nSize of the tree: 725\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 223\nSize of the tree: 445\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 137\nSize of the tree: 273\n','Number of leaves: 311\nSize of the tree: 621\n','Number of leaves: 108\nSize of the tree: 215\n','Number of leaves: 186\nSize of the tree: 371\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 35\nSize of the tree: 69\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumPredictionLeaves numeric
@attribute measureNodesExpanded numeric
@attribute measureExamplesProcessed numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

communities.data,1,1,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1794,200,175,25,0,87.5,12.5,0,0.58124,0.20403,0.301552,66.603267,76.866219,140.29955,82.121572,58.177978,0.701498,0.410608,0.29089,34.752134,0.173761,4989.490712,0.932099,151,0.368421,14,0.631579,24,0.067901,11,0.915152,0.932099,0.923547,0.919672,0.875,0.311322,0.688678,0.125,0.871558,0.875,0.873005,0.919672,2.785,0,2.53125,0,70367,1598407,238725,?,31,21,14,78,63452,?,?
communities.data,1,2,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1794,200,180,20,0,90,10,0,0.661476,0.207441,0.289273,67.716591,73.736084,140.29955,81.691481,58.608069,0.701498,0.408457,0.29304,38.568257,0.192841,5537.385374,0.950617,154,0.315789,12,0.684211,26,0.049383,8,0.927711,0.950617,0.939024,0.938759,0.9,0.265172,0.734828,0.1,0.89674,0.9,0.897832,0.938759,3.008,0.001,2.703125,0,70365,1598407,238725,?,31,21,15,84,68855,?,?
communities.data,1,3,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1794,200,170,30,0,85,15,0,0.512671,0.228518,0.323681,74.597002,82.506749,140.29955,98.252775,42.046775,0.701498,0.491264,0.210234,19.935064,0.099675,2862.149852,0.907407,147,0.394737,15,0.605263,23,0.092593,15,0.907407,0.907407,0.907407,0.891975,0.85,0.337329,0.662671,0.15,0.85,0.85,0.85,0.891975,2.307,0.001,2.09375,0,70365,1598407,238725,?,31,21,15,80,57134,?,?
communities.data,1,4,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1794,200,179,21,0,89.5,10.5,0,0.64078,0.210029,0.301822,68.561461,76.934999,140.29955,83.707645,56.591905,0.701498,0.418538,0.28296,31.394391,0.156972,4507.407295,0.950617,154,0.342105,13,0.657895,25,0.049383,8,0.922156,0.950617,0.93617,0.914717,0.895,0.286488,0.713512,0.105,0.890886,0.895,0.892101,0.914717,3.276,0.001,2.96875,0,70365,1598407,238725,?,31,21,15,95,75268,?,?
communities.data,1,5,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1795,199,162,37,0,81.407035,18.592965,0,0.337443,0.227781,0.335703,74.908943,86.286679,137.88723,100.434161,37.453069,0.692901,0.504694,0.188206,21.054598,0.105802,3018.747411,0.907407,147,0.594595,22,0.405405,15,0.092593,15,0.869822,0.907407,0.888218,0.861278,0.81407,0.501258,0.498742,0.18593,0.801062,0.81407,0.806324,0.861278,2.898,0.001,2.59375,0,70468,1599260,237872,?,31,21,15,76,65534,?,?
communities.data,1,6,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1795,199,175,24,0,87.939698,12.060302,0,0.593116,0.214749,0.31392,70.623124,80.687679,137.88723,95.104915,42.782314,0.692901,0.477914,0.214987,22.081735,0.110963,3166.015332,0.932099,151,0.351351,13,0.648649,24,0.067901,11,0.920732,0.932099,0.92638,0.895395,0.879397,0.29865,0.70135,0.120603,0.877035,0.879397,0.878092,0.895395,4.3,0.001,2.890625,0,70367,1599260,237872,?,31,21,14,80,67246,?,?
communities.data,1,7,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1795,199,174,25,0,87.437186,12.562814,0,0.580629,0.200057,0.283684,65.791524,72.915937,137.88723,75.805356,62.081874,0.692901,0.380931,0.311969,35.438622,0.178084,5081.087076,0.925926,150,0.351351,13,0.648649,24,0.074074,12,0.920245,0.925926,0.923077,0.946363,0.874372,0.299797,0.700203,0.125628,0.873098,0.874372,0.873705,0.946363,2.963,0,2.5625,0,70367,1599260,237872,?,31,21,14,83,66858,?,?
communities.data,1,8,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1795,199,171,28,0,85.929648,14.070352,0,0.492901,0.210636,0.305228,69.270549,78.453622,137.88723,83.521576,54.365653,0.692901,0.419706,0.273194,29.488457,0.148183,4227.969709,0.938272,152,0.486486,18,0.513514,19,0.061728,10,0.894118,0.938272,0.915663,0.915666,0.859296,0.407511,0.592489,0.140704,0.849691,0.859296,0.852464,0.915666,2.887,0.001,2.71875,0.015625,70367,1599260,237872,?,31,21,14,89,71672,?,?
communities.data,1,9,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1795,199,174,25,0,87.437186,12.562814,0,0.589284,0.209671,0.305648,68.953173,78.561339,137.88723,84.4982,53.38903,0.692901,0.424614,0.268287,29.22078,0.146838,4189.590903,0.919753,149,0.324324,12,0.675676,25,0.080247,13,0.925466,0.919753,0.922601,0.904404,0.874372,0.278943,0.721057,0.125628,0.875716,0.874372,0.875015,0.904404,3.222,0,2.921875,0,70367,1599260,237872,?,31,21,14,96,75713,?,?
communities.data,1,10,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1795,199,177,22,0,88.944724,11.055276,0,0.610429,0.193448,0.290795,63.617873,74.743682,137.88723,79.373563,58.513667,0.692901,0.398862,0.294039,39.289492,0.197435,5633.213746,0.950617,154,0.378378,14,0.621622,23,0.049383,8,0.916667,0.950617,0.933333,0.929429,0.889447,0.317208,0.682792,0.110553,0.884179,0.889447,0.885575,0.929429,3.052,0.001,2.75,0,70367,1599260,237872,?,31,21,14,84,71090,?,?
