@relation InstanceResultListener

@attribute Key_Dataset {communities.data}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.KStar,weka.classifiers.lazy.LWL,weka.classifiers.lazy.IB1,weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-B 20 -M a','-U 0 -K -1 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {332458330800479083,1979797405383665815,-6152184127304895851,-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

communities.data,1,1,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0316,1794,200,170,30,0,85,15,0,0.492214,0.146883,0.378171,47.948423,96.396548,140.29955,1146.080747,-1005.781197,0.701498,5.730404,-5.028906,60.077562,0.300388,8625.554788,0.919753,149,0.447368,17,0.552632,21,0.080247,13,0.89759,0.919753,0.908537,0.871995,0.85,0.377615,0.622385,0.15,0.844401,0.85,0.846748,0.875683,0,48.256,0,45.171875,1854986,1598407,238725,?
communities.data,1,2,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0316,1794,200,176,24,0,88,12,0,0.546142,0.12358,0.343366,40.341289,87.524476,140.29955,812.296875,-671.997325,0.701498,4.061484,-3.359987,74.470138,0.372351,10691.949487,0.969136,157,0.5,19,0.5,19,0.030864,5,0.892045,0.969136,0.928994,0.868259,0.88,0.410864,0.589136,0.12,0.872973,0.88,0.868937,0.878259,0.001,47.001,0,44.40625,1849892,1598407,238725,?
communities.data,1,3,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0317,1794,200,165,35,0,82.5,17.5,0,0.388326,0.172132,0.411676,56.190608,104.936905,140.29955,1507.450113,-1367.150563,0.701498,7.537251,-6.835753,46.254261,0.231271,6640.893123,0.91358,148,0.552632,21,0.447368,17,0.08642,14,0.87574,0.91358,0.89426,0.800763,0.825,0.464051,0.535949,0.175,0.813543,0.825,0.817974,0.806057,0,47.5,0,44.78125,1853840,1598407,238725,?
communities.data,1,4,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0318,1794,200,165,35,0,82.5,17.5,0,0.388326,0.171871,0.410475,56.105325,104.63092,140.29955,1599.372641,-1459.073091,0.701498,7.996863,-7.295365,46.818903,0.234095,6721.960768,0.91358,148,0.552632,21,0.447368,17,0.08642,14,0.87574,0.91358,0.89426,0.803444,0.825,0.464051,0.535949,0.175,0.813543,0.825,0.817974,0.808259,0.001,47.427,0.015625,44.546875,1850609,1598407,238725,?
communities.data,1,5,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0319,1795,199,168,31,0,84.422111,15.577889,0,0.47998,0.155666,0.388854,51.192756,99.94815,137.88723,1476.08625,-1338.19902,0.692901,7.417519,-6.724618,53.931472,0.271012,7732.538561,0.907407,147,0.432432,16,0.567568,21,0.092593,15,0.90184,0.907407,0.904615,0.781448,0.844221,0.369246,0.630754,0.155779,0.842621,0.844221,0.843394,0.793887,0.001,47.491,0,44.390625,1853397,1599260,237872,?
communities.data,1,6,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.032,1795,199,167,32,0,83.919598,16.080402,0,0.406966,0.162438,0.399965,53.419927,102.803879,137.88723,1345.939729,-1208.052499,0.692901,6.763516,-6.070616,50.542605,0.253983,7246.652516,0.932099,151,0.567568,21,0.432432,16,0.067901,11,0.877907,0.932099,0.904192,0.807474,0.839196,0.474665,0.525335,0.160804,0.824859,0.839196,0.82904,0.818827,0.001,46.154,0,43.40625,1845906,1599260,237872,?
communities.data,1,7,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.032,1795,199,168,31,0,84.422111,15.577889,0,0.457098,0.150704,0.383022,49.560949,98.449141,137.88723,1134.241066,-996.353836,0.692901,5.699704,-5.006803,56.323164,0.283031,8075.452357,0.919753,149,0.486486,18,0.513514,19,0.080247,13,0.892216,0.919753,0.905775,0.856273,0.844221,0.410955,0.589045,0.155779,0.836722,0.844221,0.839761,0.86378,0,46.944,0,44.8125,1854966,1599260,237872,?
communities.data,1,8,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0321,1795,199,167,32,0,83.919598,16.080402,0,0.420459,0.16213,0.397479,53.31859,102.165041,137.88723,1252.944869,-1115.057639,0.692901,6.296205,-5.603305,50.094315,0.25173,7182.378057,0.925926,150,0.540541,20,0.459459,17,0.074074,12,0.882353,0.925926,0.903614,0.827578,0.839196,0.453811,0.546189,0.160804,0.827291,0.839196,0.831388,0.834448,0,46.465,0,43.875,1848186,1599260,237872,?
communities.data,1,9,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0322,1795,199,170,29,0,85.427136,14.572864,0,0.468747,0.146721,0.380484,48.251308,97.796674,137.88723,1138.185107,-1000.297878,0.692901,5.719523,-5.026623,58.555923,0.294251,8395.578879,0.938272,152,0.513514,19,0.486486,18,0.061728,10,0.888889,0.938272,0.912913,0.85352,0.854271,0.429513,0.570487,0.145729,0.843144,0.854271,0.846152,0.858111,0,47.206,0,43.640625,1849020,1599260,237872,?
communities.data,1,10,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0323,1795,199,171,28,0,85.929648,14.070352,0,0.468726,0.140411,0.369937,46.175944,95.085781,137.88723,1399.219517,-1261.332287,0.692901,7.031254,-6.338353,62.103709,0.312079,8904.250179,0.950617,154,0.540541,20,0.459459,17,0.049383,8,0.885057,0.950617,0.916667,0.852853,0.859296,0.44922,0.55078,0.140704,0.846931,0.859296,0.848193,0.859708,0,47.081,0,44.28125,1851228,1599260,237872,?
communities.data,2,1,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0323,1794,200,159,41,0,79.5,20.5,0,0.267596,0.200742,0.443619,65.530037,113.079258,140.29955,1381.025927,-1240.726377,0.701498,6.90513,-6.203632,31.670963,0.158355,4547.115718,0.901235,146,0.657895,25,0.342105,13,0.098765,16,0.853801,0.901235,0.876877,0.836582,0.795,0.55166,0.44834,0.205,0.776751,0.795,0.784002,0.843033,0,47.066,0,44.71875,1854917,1598407,238725,?
communities.data,2,2,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0324,1794,200,171,29,0,85.5,14.5,0,0.470223,0.146843,0.37334,47.935136,95.16493,140.29955,1570.523624,-1430.224074,0.701498,7.852618,-7.15112,59.864029,0.29932,8594.897068,0.944444,153,0.526316,20,0.473684,18,0.055556,9,0.884393,0.944444,0.913433,0.775504,0.855,0.436871,0.563129,0.145,0.843025,0.855,0.845111,0.787278,0.001,47.238,0,44.4375,1850312,1598407,238725,?
communities.data,2,3,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0325,1794,200,167,33,0,83.5,16.5,0,0.368542,0.16291,0.400343,53.180195,102.048207,140.29955,1690.075125,-1549.775575,0.701498,8.450376,-7.748878,51.481608,0.257408,7391.402347,0.944444,153,0.631579,24,0.368421,14,0.055556,9,0.864407,0.944444,0.902655,0.806774,0.835,0.522135,0.477865,0.165,0.815822,0.835,0.818364,0.8154,0,47.001,0,44.328125,1849484,1598407,238725,?
communities.data,2,4,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0326,1794,200,168,32,0,84,16,0,0.469496,0.158767,0.39525,51.827628,100.749936,140.29955,986.407722,-846.108172,0.701498,4.932039,-4.230541,53.912073,0.26956,7740.353132,0.907407,147,0.447368,17,0.552632,21,0.092593,15,0.896341,0.907407,0.90184,0.879873,0.84,0.379961,0.620039,0.16,0.83687,0.84,0.838329,0.883083,0.001,48.33,0,45,1852925,1598407,238725,?
communities.data,2,5,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0327,1795,199,167,32,0,83.919598,16.080402,0,0.346067,0.165695,0.403356,54.491053,103.675655,137.88723,1466.929912,-1329.042682,0.692901,7.371507,-6.678606,49.255114,0.247513,7062.055783,0.95679,155,0.675676,25,0.324324,12,0.04321,7,0.861111,0.95679,0.906433,0.773941,0.839196,0.558082,0.441918,0.160804,0.818434,0.839196,0.817584,0.788023,0,47.468,0,44.75,1856298,1599260,237872,?
communities.data,2,6,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0327,1795,199,161,38,0,80.904523,19.095477,0,0.327104,0.1859,0.426926,61.135722,109.733727,137.88723,1276.334611,-1138.447381,0.692901,6.413742,-5.720841,36.679884,0.184321,5259.055712,0.901235,146,0.594595,22,0.405405,15,0.098765,16,0.869048,0.901235,0.884848,0.815315,0.809045,0.502405,0.497595,0.190955,0.797432,0.809045,0.802357,0.822729,0,47.595,0,44.671875,1853661,1599260,237872,?
communities.data,2,7,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0328,1795,199,171,28,0,85.929648,14.070352,0,0.504182,0.141797,0.367871,46.631938,94.554823,137.88723,1228.55368,-1090.66645,0.692901,6.173637,-5.480736,62.134409,0.312233,8908.651891,0.932099,151,0.459459,17,0.540541,20,0.067901,11,0.89881,0.932099,0.915152,0.847097,0.859296,0.386657,0.613343,0.140704,0.851649,0.859296,0.854368,0.85113,0,46.042,0,43.421875,1844112,1599260,237872,?
communities.data,2,8,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0329,1795,199,174,25,0,87.437186,12.562814,0,0.589284,0.125729,0.353141,41.34769,90.768774,137.88723,1001.334891,-863.447662,0.692901,5.031834,-4.338933,70.080603,0.352164,10047.954212,0.919753,149,0.324324,12,0.675676,25,0.080247,13,0.925466,0.919753,0.922601,0.887721,0.874372,0.278943,0.721057,0.125628,0.875716,0.874372,0.875015,0.891428,0,47.002,0,44.46875,1853982,1599260,237872,?
communities.data,2,9,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.033,1795,199,166,33,0,83.417085,16.582915,0,0.434513,0.162117,0.399255,53.314338,102.621586,137.88723,1198.47629,-1060.58906,0.692901,6.022494,-5.329593,50.48695,0.253703,7238.672903,0.907407,147,0.486486,18,0.513514,19,0.092593,15,0.890909,0.907407,0.899083,0.858025,0.834171,0.41325,0.58675,0.165829,0.829165,0.834171,0.831428,0.863763,0,47.597,0,44.546875,1852695,1599260,237872,?
communities.data,2,10,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0331,1795,199,161,38,0,80.904523,19.095477,0,0.327104,0.186734,0.424787,61.409902,109.184119,137.88723,1690.351702,-1552.464472,0.692901,8.49423,-7.801329,36.438263,0.183107,5224.412755,0.901235,146,0.594595,22,0.405405,15,0.098765,16,0.869048,0.901235,0.884848,0.769937,0.809045,0.502405,0.497595,0.190955,0.797432,0.809045,0.802357,0.779041,0,47.204,0,44.15625,1848669,1599260,237872,?
communities.data,3,1,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0331,1794,200,171,29,0,85.5,14.5,0,0.481958,0.143406,0.373337,46.813317,95.164131,140.29955,1179.183049,-1038.883499,0.701498,5.895915,-5.194417,62.160024,0.3108,8924.541535,0.938272,152,0.5,19,0.5,19,0.061728,10,0.888889,0.938272,0.912913,0.838369,0.855,0.416728,0.583272,0.145,0.844483,0.855,0.847221,0.846702,0,46.895,0,44.40625,1851755,1598407,238725,?
communities.data,3,2,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0332,1794,200,168,32,0,84,16,0,0.458362,0.161023,0.399859,52.564262,101.924869,140.29955,1437.473234,-1297.173684,0.701498,7.187366,-6.485868,53.141445,0.265707,7629.711171,0.91358,148,0.473684,18,0.526316,20,0.08642,14,0.891566,0.91358,0.902439,0.812459,0.84,0.400104,0.599896,0.16,0.833933,0.84,0.836531,0.819635,0,47.7,0,44.4375,1852943,1598407,238725,?
communities.data,3,3,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0333,1794,200,171,29,0,85.5,14.5,0,0.493184,0.139641,0.368214,45.584372,93.858352,140.29955,856.869263,-716.569713,0.701498,4.284346,-3.582849,64.109685,0.320548,9204.461405,0.932099,151,0.473684,18,0.526316,20,0.067901,11,0.893491,0.932099,0.912387,0.906676,0.855,0.396585,0.603415,0.145,0.846308,0.855,0.849178,0.911136,0.001,48.166,0,44.1875,1847987,1598407,238725,?
communities.data,3,4,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0334,1794,200,164,36,0,82,18,0,0.349711,0.179207,0.41563,58.500226,105.944743,140.29955,1589.147075,-1448.847525,0.701498,7.945735,-7.244238,42.270574,0.211353,6068.940516,0.919753,149,0.605263,23,0.394737,15,0.080247,13,0.866279,0.919753,0.892216,0.784438,0.82,0.50551,0.49449,0.18,0.803472,0.82,0.809058,0.795456,0,47.115,0,44.59375,1851944,1598407,238725,?
